Stage 1  Points,Stage 1  Rider,Stage 1  Team,Stage 2 Points,Stage 2 Rider,Stage 2 Team,Stage 3 Points,Stage 3 Rider,Stage 3 Team,Stage 4 Points,Stage 4 Rider,Stage 4 Team,Stage 5 Points,Stage 5 Rider,Stage 5 Team,Stage 6 Points,Stage 6 Rider,Stage 6 Team,Stage 7 Points,Stage 7 Rider,Stage 7 Team,Stage 8 Points,Stage 8 Rider,Stage 8 Team,Stage 9 Points,Stage 9 Rider,Stage 9 Team,Stage 10 Points,Stage 10 Rider,Stage 10 Team,Stage 11 Points,Stage 11 Rider,Stage 11 Team,Stage 12 Points,Stage 12 Rider,Stage 12 Team,Stage 13 Points,Stage 13 Rider,Stage 13 Team,Stage 14 Points,Stage 14 Rider,Stage 14 Team,Stage 15 Points,Stage 15 Rider,Stage 15 Team,Stage 16 Points,Stage 16 Rider,Stage 16 Team,Stage 17 Points,Stage 17 Rider,Stage 17 Team,Stage 18 Points,Stage 18 Rider,Stage 18 Team,Stage 19 Points,Stage 19 Rider,Stage 19 Team,Stage 20 Points,Stage 20 Rider,Stage 20 Team,Stage 21 Points,Stage 21 Rider,Stage 21 Team
4,Jonas Abrahamsen,Uno-X Mobility,8,Pavel Sivakov,UAE Team Emirates - XRG,8,Valentin Paret-Peintre,Soudal Quick-Step,4,Anthony Turgis,Team TotalEnergies,,,,5,Julian Alaphilippe,Tudor Pro Cycling Team,3,Ben O'Connor,Team Jayco AlUla,7,Felix Gall,Decathlon AG2R La Mondiale Team,8,Simon Yates,Team Visma | Lease a Bike,6,Tim Merlier,Soudal Quick-Step,8,Marc Soler,UAE Team Emirates - XRG,2,Arnaud Démare,Arkéa - B&B Hotels,,,,2,Clément Berthet,Decathlon AG2R La Mondiale Team,4,Jordi Meeus,Red Bull - BORA - hansgrohe,,,,,,,,,,,,,,,,,,
4,Magnus Cort,Uno-X Mobility,8,Marc Soler,UAE Team Emirates - XRG,8,Maximilian Schachmann,Soudal Quick-Step,3,Jenno Berckmoes,Lotto,,,,4,Carlos Rodríguez,INEOS Grenadiers,2,Amaury Capiot,Arkéa - B&B Hotels,6,Arnaud Démare,Arkéa - B&B Hotels,7,Felix Gall,Decathlon AG2R La Mondiale Team,5,Guillaume Martin,Groupama - FDJ,8,Adam Yates,UAE Team Emirates - XRG,2,Mathis Le Berre,Arkéa - B&B Hotels,,,,2,Oliver Naesen,Decathlon AG2R La Mondiale Team,4,Gianni Moscon,Red Bull - BORA - hansgrohe,,,,,,,,,,,,,,,,,,
4,Stian Fredheim,Uno-X Mobility,8,Adam Yates,UAE Team Emirates - XRG,8,Bert Van Lerberghe,Soudal Quick-Step,2,Benjamin Thomas,Cofidis,,,,4,Simone Consonni,Lidl - Trek,2,Arnaud Démare,Arkéa - B&B Hotels,6,Carlos Rodríguez,INEOS Grenadiers,6,Carlos Rodríguez,INEOS Grenadiers,4,Tobias Foss,INEOS Grenadiers,8,Magnus Cort,Uno-X Mobility,2,Clément Venturini,Arkéa - B&B Hotels,,,,2,Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,4,Laurence Pithie,Red Bull - BORA - hansgrohe,,,,,,,,,,,,,,,,,,
4,Markus Hoelgaard,Uno-X Mobility,6,Benjamin Thomas,Cofidis,8,Ilan Van Wilder,Soudal Quick-Step,2,Felix Gall,Decathlon AG2R La Mondiale Team,,,,4,Thibau Nys,Lidl - Trek,2,Raúl García Pierna,Arkéa - B&B Hotels,6,Laurenz Rex,Intermarché - Wanty,5,Guillaume Martin,Groupama - FDJ,4,Axel Laurance,INEOS Grenadiers,8,Stian Fredheim,Uno-X Mobility,2,Jordi Meeus,Red Bull - BORA - hansgrohe,,,,2,Bastien Tronchon,Decathlon AG2R La Mondiale Team,4,Mick Van Dijke,Red Bull - BORA - hansgrohe,,,,,,,,,,,,,,,,,,
4,Anders Halland Johannessen,Uno-X Mobility,6,Mattias Skjelmose,Lidl - Trek,8,Oscar Onley,Team Picnic PostNL,2,Simone Consonni,Lidl - Trek,,,,4,Toms Skujiņš,Lidl - Trek,2,Mathis Le Berre,Arkéa - B&B Hotels,5,Jordan Jegat,Team TotalEnergies,5,Jordan Jegat,Team TotalEnergies,4,Connor Swift,INEOS Grenadiers,8,Markus Hoelgaard,Uno-X Mobility,2,Gianni Moscon,Red Bull - BORA - hansgrohe,,,,2,Jordi Meeus,Red Bull - BORA - hansgrohe,4,Danny Van Poppel,Red Bull - BORA - hansgrohe,,,,,,,,,,,,,,,,,,
4,Tobias Halland Johannessen,Uno-X Mobility,6,Anthony Turgis,Team TotalEnergies,7,Santiago Buitrago,Bahrain - Victorious,1,Florian Lipowitz,Red Bull - BORA - hansgrohe,,,,4,Jasper Stuyven,Lidl - Trek,2,Clément Venturini,Arkéa - B&B Hotels,4,Ewen Costiou,Arkéa - B&B Hotels,4,Ewen Costiou,Arkéa - B&B Hotels,4,Geraint Thomas,INEOS Grenadiers,8,Anders Halland Johannessen,Uno-X Mobility,2,Mick Van Dijke,Red Bull - BORA - hansgrohe,,,,2,Gianni Moscon,Red Bull - BORA - hansgrohe,3,Cristián Rodríguez,Arkéa - B&B Hotels,,,,,,,,,,,,,,,,,,
4,Andreas Leknessund,Uno-X Mobility,5,Tim Merlier,Soudal Quick-Step,7,Mattias Skjelmose,Lidl - Trek,1,Jarrad Drizners,Lotto,,,,4,Edward Theuns,Lidl - Trek,2,Lewis Askey,Groupama - FDJ,4,Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,4,Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,4,Samuel Watson,INEOS Grenadiers,8,Andreas Leknessund,Uno-X Mobility,2,Danny Van Poppel,Red Bull - BORA - hansgrohe,,,,2,Laurence Pithie,Red Bull - BORA - hansgrohe,3,Jarrad Drizners,Lotto,,,,,,,,,,,,,,,,,,
3,Tobias Lund Andresen,Team Picnic PostNL,2,Felix Gall,Decathlon AG2R La Mondiale Team,6,Benjamin Thomas,Cofidis,,,,,,,4,Tim Merlier,Soudal Quick-Step,2,Cyril Barthe,Groupama - FDJ,4,Guillaume Martin,Groupama - FDJ,4,Thibau Nys,Lidl - Trek,4,Sergio Higuita,XDS Astana Team,6,Michael Woods,Israel - Premier Tech,2,Aleksandr Vlasov,Red Bull - BORA - hansgrohe,,,,2,Mick Van Dijke,Red Bull - BORA - hansgrohe,2,Kaden Groves,Alpecin - Deceuninck,,,,,,,,,,,,,,,,,,
2,Simone Consonni,Lidl - Trek,1,Bryan Coquard,Cofidis,6,Hugo Page,Intermarché - Wanty,,,,,,,2,Lewis Askey,Groupama - FDJ,2,Valentin Madouas,Groupama - FDJ,4,Pascal Eenkhoorn,Soudal Quick-Step,4,Quinn Simmons,Lidl - Trek,2,Mathieu Van Der Poel,Alpecin - Deceuninck,4,Biniam Girmay,Intermarché - Wanty,2,Pascal Eenkhoorn,Soudal Quick-Step,,,,2,Danny Van Poppel,Red Bull - BORA - hansgrohe,2,Tim Merlier,Soudal Quick-Step,,,,,,,,,,,,,,,,,,
1,Mattia Cattaneo,Soudal Quick-Step,,,,6,Edoardo Affini,Team Visma | Lease a Bike,,,,,,,2,Cyril Barthe,Groupama - FDJ,2,Quentin Pacher,Groupama - FDJ,4,Valentin Paret-Peintre,Soudal Quick-Step,4,Toms Skujiņš,Lidl - Trek,2,Clément Berthet,Decathlon AG2R La Mondiale Team,4,Tim Merlier,Soudal Quick-Step,2,Valentin Paret-Peintre,Soudal Quick-Step,,,,2,Tim Merlier,Soudal Quick-Step,2,Sergio Higuita,XDS Astana Team,,,,,,,,,,,,,,,,,,
