Stage 1 ,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Matteo Jorgenson,Kévin Vauquelin,Pascal Ackermann,Remco Evenepoel,João Almeida,Harold Tejada,Jhonatan Narváez,Alberto Dainese,Jordi Meeus,Lenny Martinez,Mathieu Burgaudeau,Felix Gall,Adam Yates,Primož Roglič,Jordan Jegat,,,,,,
Team Visma | Lease a Bike,Arkéa - B&B Hotels,Israel - Premier Tech,Soudal Quick-Step,UAE Team Emirates - XRG,XDS Astana Team,UAE Team Emirates - XRG,Tudor Pro Cycling Team,Red Bull - BORA - hansgrohe,Bahrain - Victorious,Team TotalEnergies,Decathlon AG2R La Mondiale Team,UAE Team Emirates - XRG,Red Bull - BORA - hansgrohe,Team TotalEnergies,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
90 points,70 points,70 points,81 points,70 points,114 points,70 points,70 points,70 points,109 points,96 points,86 points,78 points,87 points,70 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Marius Mayrhofer,Simone Velasco,Amaury Capiot,Mattias Skjelmose,Luke Plapp,Tadej Pogačar,Axel Laurance,Vincenzo Albanese,Stian Fredheim,Tadej Pogačar,Davide Ballerini,Primož Roglič,Lenny Martinez,Tobias Halland Johannessen,Michael Valgren,,,,,,
Tudor Pro Cycling Team,XDS Astana Team,Arkéa - B&B Hotels,Lidl - Trek,Team Jayco AlUla,UAE Team Emirates - XRG,INEOS Grenadiers,EF Education - EasyPost,Uno-X Mobility,UAE Team Emirates - XRG,XDS Astana Team,Red Bull - BORA - hansgrohe,Bahrain - Victorious,Uno-X Mobility,EF Education - EasyPost,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
71 points,60 points,60 points,77 points,66 points,85 points,69 points,60 points,60 points,94 points,75 points,64 points,72 points,76 points,60 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Samuel Watson,Jenno Berckmoes,Alberto Dainese,Kévin Vauquelin,Matteo Jorgenson,Jonas Vingegaard,Tobias Halland Johannessen,Stian Fredheim,Kaden Groves,Jonas Vingegaard,Quinn Simmons,Cristián Rodríguez,Felix Gall,Kévin Vauquelin,Valentin Madouas,,,,,,
INEOS Grenadiers,Lotto,Tudor Pro Cycling Team,Arkéa - B&B Hotels,Team Visma | Lease a Bike,Team Visma | Lease a Bike,Uno-X Mobility,Uno-X Mobility,Alpecin - Deceuninck,Team Visma | Lease a Bike,Lidl - Trek,Arkéa - B&B Hotels,Decathlon AG2R La Mondiale Team,Arkéa - B&B Hotels,Groupama - FDJ,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
60 points,55 points,50 points,62 points,60 points,73 points,55 points,50 points,57 points,72 points,52 points,52 points,65 points,72 points,58 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
