Stage 1 ,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Jonas Vingegaard,Neilson Powless,Ben O'Connor,Silvan Dillier,Ben O'Connor,Gianni Vermeersch,Ben Healy,Oscar Onley,Florian Lipowitz,Bruno Armirail,Primož Roglič,Sepp Kuss,Mattias Skjelmose,Tim Wellens,Pavel Sivakov,,,,,,
Team Visma | Lease a Bike,EF Education - EasyPost,Team Jayco AlUla,Alpecin - Deceuninck,Team Jayco AlUla,Alpecin - Deceuninck,EF Education - EasyPost,Team Picnic PostNL,Red Bull - BORA - hansgrohe,Decathlon AG2R La Mondiale Team,Red Bull - BORA - hansgrohe,Team Visma | Lease a Bike,Lidl - Trek,UAE Team Emirates - XRG,UAE Team Emirates - XRG,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
10 points,16 points,12 points,12 points,4 points,8 points,16 points,13 points,12 points,16 points,12 points,16 points,2 points,14 points,20 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Pascal Ackermann,Tim Wellens,Niklas Märkl,Kaden Groves,Mauro Schmid,Emiel Verstrynge,Enric Mas,Florian Lipowitz,Primož Roglič,Edoardo Affini,Tim Wellens,Wout Van Aert,Tim Merlier,Edoardo Affini,Marc Soler,,,,,,
Israel - Premier Tech,UAE Team Emirates - XRG,Team Picnic PostNL,Alpecin - Deceuninck,Team Jayco AlUla,Alpecin - Deceuninck,Movistar Team,Red Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,Team Visma | Lease a Bike,UAE Team Emirates - XRG,Team Visma | Lease a Bike,Soudal Quick-Step,Team Visma | Lease a Bike,UAE Team Emirates - XRG,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,13 points,11 points,12 points,3 points,8 points,13 points,12 points,12 points,16 points,12 points,16 points,1 points,14 points,20 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Louis Barré,Joseph Blackmore,Emanuel Buchmann,Xandro Meurisse,Felix Gall,Vincenzo Albanese,Jonathan Milan,Quinn Simmons,Pascal Eenkhoorn,Tiesj Benoot,Clément Champoussin,Simon Yates,Sepp Kuss,Tiesj Benoot,Adam Yates,,,,,,
Intermarché - Wanty,Israel - Premier Tech,Cofidis,Alpecin - Deceuninck,Decathlon AG2R La Mondiale Team,EF Education - EasyPost,Lidl - Trek,Lidl - Trek,Soudal Quick-Step,Team Visma | Lease a Bike,XDS Astana Team,Team Visma | Lease a Bike,Team Visma | Lease a Bike,Team Visma | Lease a Bike,UAE Team Emirates - XRG,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,12 points,10 points,12 points,2 points,8 points,12 points,12 points,12 points,16 points,10 points,16 points,,14 points,19 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Vito Braet,Biniam Girmay,Silvan Dillier,Jonas Rickaert,Benjamin Thomas,Kasper Asgreen,Xandro Meurisse,Primož Roglič,Valentin Paret-Peintre,Sepp Kuss,Felix Gall,Jordan Jegat,,Victor Campenaerts,Primož Roglič,,,,,,
Intermarché - Wanty,Intermarché - Wanty,Alpecin - Deceuninck,Alpecin - Deceuninck,Cofidis,EF Education - EasyPost,Alpecin - Deceuninck,Red Bull - BORA - hansgrohe,Soudal Quick-Step,Team Visma | Lease a Bike,Decathlon AG2R La Mondiale Team,Team TotalEnergies,,Team Visma | Lease a Bike,Red Bull - BORA - hansgrohe,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,12 points,10 points,12 points,2 points,8 points,12 points,12 points,12 points,16 points,9 points,13 points,,14 points,18 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hugo Page,Tobias Halland Johannessen,Xandro Meurisse,Gianni Vermeersch,Tim Merlier,Alex Baudin,Edoardo Affini,Edoardo Affini,Maximilian Schachmann,Wout Van Aert,Carlos Rodríguez,Mattias Skjelmose,,Matteo Jorgenson,Oscar Onley,,,,,,
Intermarché - Wanty,Uno-X Mobility,Alpecin - Deceuninck,Alpecin - Deceuninck,Soudal Quick-Step,EF Education - EasyPost,Team Visma | Lease a Bike,Team Visma | Lease a Bike,Soudal Quick-Step,Team Visma | Lease a Bike,INEOS Grenadiers,Lidl - Trek,,Team Visma | Lease a Bike,Team Picnic PostNL,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,11 points,10 points,12 points,2 points,8 points,12 points,12 points,12 points,15 points,8 points,12 points,,14 points,16 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Laurenz Rex,Emanuel Buchmann,Jasper Philipsen,Emiel Verstrynge,Steff Cras,Neilson Powless,Tiesj Benoot,Tiesj Benoot,Bert Van Lerberghe,Kévin Vauquelin,Alex Aranburu,Ben Healy,,Wout Van Aert,Kévin Vauquelin,,,,,,
Intermarché - Wanty,Cofidis,Alpecin - Deceuninck,Alpecin - Deceuninck,Team TotalEnergies,EF Education - EasyPost,Team Visma | Lease a Bike,Team Visma | Lease a Bike,Soudal Quick-Step,Arkéa - B&B Hotels,Cofidis,EF Education - EasyPost,,Team Visma | Lease a Bike,Arkéa - B&B Hotels,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,11 points,10 points,12 points,1 points,8 points,12 points,12 points,12 points,15 points,8 points,12 points,,10 points,16 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Jonas Rutsch,Ben O'Connor,Jonas Rickaert,Edoardo Affini,Jack Haig,Harry Sweeny,Victor Campenaerts,Victor Campenaerts,Ilan Van Wilder,Jordan Jegat,Vincenzo Albanese,Jonathan Milan,,Callum Scotson,Warren Barguil,,,,,,
Intermarché - Wanty,Team Jayco AlUla,Alpecin - Deceuninck,Team Visma | Lease a Bike,Bahrain - Victorious,EF Education - EasyPost,Team Visma | Lease a Bike,Team Visma | Lease a Bike,Soudal Quick-Step,Team TotalEnergies,EF Education - EasyPost,Lidl - Trek,,Decathlon AG2R La Mondiale Team,Team Picnic PostNL,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,8 points,10 points,12 points,1 points,8 points,12 points,12 points,12 points,12 points,8 points,12 points,,8 points,16 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Roel Van Sintmaartensdijk,Lewis Askey,Gianni Vermeersch,Victor Campenaerts,Anthony Turgis,Michael Valgren,Sepp Kuss,Sepp Kuss,João Almeida,Jonathan Milan,Kasper Asgreen,Thibau Nys,,Guillaume Martin,Edoardo Affini,,,,,,
Intermarché - Wanty,Groupama - FDJ,Alpecin - Deceuninck,Team Visma | Lease a Bike,Team TotalEnergies,EF Education - EasyPost,Team Visma | Lease a Bike,Team Visma | Lease a Bike,UAE Team Emirates - XRG,Lidl - Trek,EF Education - EasyPost,Lidl - Trek,,Groupama - FDJ,Team Visma | Lease a Bike,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,8 points,10 points,12 points,,8 points,12 points,12 points,12 points,12 points,8 points,9 points,,8 points,16 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Georg Zimmermann,Cyril Barthe,Emiel Verstrynge,Sepp Kuss,,Marijn Van Den Berg,Wout Van Aert,Simon Yates,Nils Politt,Jhonatan Narváez,Alex Baudin,Carlos Rodríguez,,Tobias Foss,Tiesj Benoot,,,,,,
Intermarché - Wanty,Groupama - FDJ,Alpecin - Deceuninck,Team Visma | Lease a Bike,,EF Education - EasyPost,Team Visma | Lease a Bike,Team Visma | Lease a Bike,UAE Team Emirates - XRG,UAE Team Emirates - XRG,EF Education - EasyPost,INEOS Grenadiers,,INEOS Grenadiers,Team Visma | Lease a Bike,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,8 points,10 points,12 points,,8 points,12 points,12 points,12 points,12 points,8 points,8 points,,8 points,16 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Julian Alaphilippe,Valentin Madouas,Aurélien Paret-Peintre,Simon Yates,,Edoardo Affini,Simon Yates,João Almeida,Pavel Sivakov,Tim Wellens,Neilson Powless,Lenny Martinez,,Axel Laurance,Simon Yates,,,,,,
Tudor Pro Cycling Team,Groupama - FDJ,Decathlon AG2R La Mondiale Team,Team Visma | Lease a Bike,,Team Visma | Lease a Bike,Team Visma | Lease a Bike,UAE Team Emirates - XRG,UAE Team Emirates - XRG,UAE Team Emirates - XRG,EF Education - EasyPost,Bahrain - Victorious,,INEOS Grenadiers,Team Visma | Lease a Bike,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,8 points,10 points,11 points,,8 points,10 points,12 points,12 points,10 points,8 points,8 points,,8 points,16 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Alberto Dainese,Quentin Pacher,João Almeida,Marc Hirschi,,Tiesj Benoot,Biniam Girmay,Nils Politt,Marc Soler,Vincenzo Albanese,Harry Sweeny,Stian Fredheim,,Connor Swift,Arnaud De Lie,,,,,,
Tudor Pro Cycling Team,Groupama - FDJ,UAE Team Emirates - XRG,Tudor Pro Cycling Team,,Team Visma | Lease a Bike,Intermarché - Wanty,UAE Team Emirates - XRG,UAE Team Emirates - XRG,EF Education - EasyPost,EF Education - EasyPost,Uno-X Mobility,,INEOS Grenadiers,Lotto,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,8 points,9 points,9 points,,8 points,4 points,12 points,12 points,10 points,8 points,6 points,,8 points,14 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Marco Haller,Paul Penhoët,Neilson Powless,Guillaume Martin,,Victor Campenaerts,Aurélien Paret-Peintre,Pavel Sivakov,Adam Yates,Kasper Asgreen,Michael Valgren,Enric Mas,,Geraint Thomas,Felix Gall,,,,,,
Tudor Pro Cycling Team,Groupama - FDJ,EF Education - EasyPost,Groupama - FDJ,,Team Visma | Lease a Bike,Decathlon AG2R La Mondiale Team,UAE Team Emirates - XRG,UAE Team Emirates - XRG,EF Education - EasyPost,EF Education - EasyPost,Movistar Team,,INEOS Grenadiers,Decathlon AG2R La Mondiale Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,8 points,9 points,8 points,,8 points,4 points,12 points,12 points,10 points,8 points,6 points,,8 points,13 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Marc Hirschi,Clément Russo,Simone Consonni,Alexey Lutsenko,,Sepp Kuss,Mattia Cattaneo,Marc Soler,Matteo Trentin,Neilson Powless,Guillaume Martin,Simone Velasco,,Samuel Watson,Tobias Halland Johannessen,,,,,,
Tudor Pro Cycling Team,Groupama - FDJ,Lidl - Trek,Israel - Premier Tech,,Team Visma | Lease a Bike,Soudal Quick-Step,UAE Team Emirates - XRG,Tudor Pro Cycling Team,EF Education - EasyPost,Groupama - FDJ,XDS Astana Team,,INEOS Grenadiers,Uno-X Mobility,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,8 points,8 points,6 points,,8 points,4 points,12 points,9 points,10 points,8 points,6 points,,8 points,12 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fabian Lienhard,Jonathan Milan,Kasper Asgreen,Tim Merlier,,Wout Van Aert,Pascal Eenkhoorn,Adam Yates,Tobias Halland Johannessen,Michael Valgren,Enric Mas,Anthony Turgis,,Anthony Turgis,Lenny Martinez,,,,,,
Tudor Pro Cycling Team,Lidl - Trek,EF Education - EasyPost,Soudal Quick-Step,,Team Visma | Lease a Bike,Soudal Quick-Step,UAE Team Emirates - XRG,Uno-X Mobility,EF Education - EasyPost,Movistar Team,Team TotalEnergies,,Team TotalEnergies,Bahrain - Victorious,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8 points,8 points,8 points,6 points,,8 points,4 points,12 points,8 points,8 points,8 points,5 points,,6 points,12 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Michael Storer,Edoardo Affini,Lewis Askey,Joseph Blackmore,,Jhonatan Narváez,Tim Merlier,Cees Bol,Simone Consonni,Enric Mas,Ben O'Connor,Laurence Pithie,,Quinn Simmons,Guillaume Martin,,,,,,
Tudor Pro Cycling Team,Team Visma | Lease a Bike,Groupama - FDJ,Israel - Premier Tech,,UAE Team Emirates - XRG,Soudal Quick-Step,XDS Astana Team,Lidl - Trek,Movistar Team,Team Jayco AlUla,Red Bull - BORA - hansgrohe,,Lidl - Trek,Groupama - FDJ,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5 points,8 points,8 points,4 points,,8 points,4 points,9 points,8 points,8 points,8 points,4 points,,6 points,12 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Jordi Meeus,Tiesj Benoot,Cyril Barthe,Santiago Buitrago,,Nils Politt,Valentin Paret-Peintre,Tobias Halland Johannessen,Enric Mas,Iván Romeo,Edoardo Affini,Aurélien Paret-Peintre,,Sergio Higuita,Jonathan Milan,,,,,,
Red Bull - BORA - hansgrohe,Team Visma | Lease a Bike,Groupama - FDJ,Bahrain - Victorious,,UAE Team Emirates - XRG,Soudal Quick-Step,Uno-X Mobility,Movistar Team,Movistar Team,Team Visma | Lease a Bike,Decathlon AG2R La Mondiale Team,,XDS Astana Team,Lidl - Trek,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,8 points,8 points,4 points,,8 points,4 points,8 points,8 points,8 points,8 points,4 points,,5 points,12 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Lewis Askey,Victor Campenaerts,Romain Grégoire,Lewis Askey,,Pavel Sivakov,Maximilian Schachmann,Simone Consonni,Danny Van Poppel,Nils Politt,Tiesj Benoot,Biniam Girmay,,Ewen Costiou,Andreas Leknessund,,,,,,
Groupama - FDJ,Team Visma | Lease a Bike,Groupama - FDJ,Groupama - FDJ,,UAE Team Emirates - XRG,Soudal Quick-Step,Lidl - Trek,Red Bull - BORA - hansgrohe,UAE Team Emirates - XRG,Team Visma | Lease a Bike,Intermarché - Wanty,,Arkéa - B&B Hotels,Uno-X Mobility,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,8 points,8 points,4 points,,8 points,4 points,8 points,8 points,8 points,8 points,4 points,,5 points,11 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cyril Barthe,Sepp Kuss,Valentin Madouas,Cyril Barthe,,Marc Soler,Bert Van Lerberghe,Thibau Nys,Edoardo Affini,Pavel Sivakov,Victor Campenaerts,Edward Theuns,,Michael Storer,Ben Healy,,,,,,
Groupama - FDJ,Team Visma | Lease a Bike,Groupama - FDJ,Groupama - FDJ,,UAE Team Emirates - XRG,Soudal Quick-Step,Lidl - Trek,Team Visma | Lease a Bike,UAE Team Emirates - XRG,Team Visma | Lease a Bike,Lidl - Trek,,Tudor Pro Cycling Team,EF Education - EasyPost,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,8 points,8 points,4 points,,8 points,4 points,8 points,8 points,8 points,8 points,4 points,,4 points,11 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Romain Grégoire,Wout Van Aert,Quentin Pacher,Valentin Madouas,,Adam Yates,Ilan Van Wilder,Toms Skujiņš,Tiesj Benoot,Marc Soler,Sepp Kuss,Tim Merlier,,Julian Alaphilippe,Thymen Arensman,,,,,,
Groupama - FDJ,Team Visma | Lease a Bike,Groupama - FDJ,Groupama - FDJ,,UAE Team Emirates - XRG,Soudal Quick-Step,Lidl - Trek,Team Visma | Lease a Bike,UAE Team Emirates - XRG,Team Visma | Lease a Bike,Soudal Quick-Step,,Tudor Pro Cycling Team,INEOS Grenadiers,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,8 points,8 points,4 points,,6 points,4 points,8 points,8 points,8 points,8 points,4 points,,3 points,9 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Valentin Madouas,Simon Yates,Mattia Cattaneo,Quentin Pacher,,Jordan Jegat,Sergio Higuita,Jasper Stuyven,Victor Campenaerts,Adam Yates,Simon Yates,Michael Storer,,Cristián Rodríguez,Ben O'Connor,,,,,,
Groupama - FDJ,Team Visma | Lease a Bike,Soudal Quick-Step,Groupama - FDJ,,Team TotalEnergies,XDS Astana Team,Lidl - Trek,Team Visma | Lease a Bike,UAE Team Emirates - XRG,Team Visma | Lease a Bike,Tudor Pro Cycling Team,,Arkéa - B&B Hotels,Team Jayco AlUla,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,8 points,8 points,4 points,,6 points,4 points,8 points,8 points,6 points,8 points,2 points,,3 points,8 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Guillaume Martin,Jhonatan Narváez,Pascal Eenkhoorn,Paul Penhoët,,Tobias Halland Johannessen,Anthony Turgis,Edward Theuns,Sepp Kuss,Biniam Girmay,Nils Politt,Amaury Capiot,,Matteo Trentin,Jake Stewart,,,,,,
Groupama - FDJ,UAE Team Emirates - XRG,Soudal Quick-Step,Groupama - FDJ,,Uno-X Mobility,Team TotalEnergies,Lidl - Trek,Team Visma | Lease a Bike,Intermarché - Wanty,UAE Team Emirates - XRG,Arkéa - B&B Hotels,,Tudor Pro Cycling Team,Israel - Premier Tech,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,8 points,8 points,4 points,,5 points,3 points,8 points,8 points,6 points,8 points,2 points,,2 points,4 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Quentin Pacher,Nils Politt,Remco Evenepoel,Clément Russo,,Aurélien Paret-Peintre,Guillaume Martin,Enric Mas,Wout Van Aert,Mattias Skjelmose,Pavel Sivakov,Ewen Costiou,,Bruno Armirail,Biniam Girmay,,,,,,
Groupama - FDJ,UAE Team Emirates - XRG,Soudal Quick-Step,Groupama - FDJ,,Decathlon AG2R La Mondiale Team,Groupama - FDJ,Movistar Team,Team Visma | Lease a Bike,Lidl - Trek,UAE Team Emirates - XRG,Arkéa - B&B Hotels,,Decathlon AG2R La Mondiale Team,Intermarché - Wanty,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,8 points,8 points,4 points,,5 points,3 points,7 points,8 points,6 points,8 points,2 points,,2 points,4 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Jonas Abrahamsen,Pavel Sivakov,Valentin Paret-Peintre,Anthony Turgis,,Julian Alaphilippe,Ben O'Connor,Felix Gall,Simon Yates,Tim Merlier,Marc Soler,Arnaud Démare,,Clément Berthet,Jordi Meeus,,,,,,
Uno-X Mobility,UAE Team Emirates - XRG,Soudal Quick-Step,Team TotalEnergies,,Tudor Pro Cycling Team,Team Jayco AlUla,Decathlon AG2R La Mondiale Team,Team Visma | Lease a Bike,Soudal Quick-Step,UAE Team Emirates - XRG,Arkéa - B&B Hotels,,Decathlon AG2R La Mondiale Team,Red Bull - BORA - hansgrohe,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,8 points,8 points,3 points,,4 points,2 points,6 points,7 points,5 points,8 points,2 points,,2 points,4 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Magnus Cort,Marc Soler,Maximilian Schachmann,Jenno Berckmoes,,Carlos Rodríguez,Amaury Capiot,Arnaud Démare,Felix Gall,Guillaume Martin,Adam Yates,Mathis Le Berre,,Oliver Naesen,Gianni Moscon,,,,,,
Uno-X Mobility,UAE Team Emirates - XRG,Soudal Quick-Step,Lotto,,INEOS Grenadiers,Arkéa - B&B Hotels,Arkéa - B&B Hotels,Decathlon AG2R La Mondiale Team,Groupama - FDJ,UAE Team Emirates - XRG,Arkéa - B&B Hotels,,Decathlon AG2R La Mondiale Team,Red Bull - BORA - hansgrohe,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,8 points,8 points,2 points,,4 points,2 points,6 points,6 points,4 points,8 points,2 points,,2 points,4 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Stian Fredheim,Adam Yates,Bert Van Lerberghe,Benjamin Thomas,,Simone Consonni,Arnaud Démare,Carlos Rodríguez,Carlos Rodríguez,Tobias Foss,Magnus Cort,Clément Venturini,,Aurélien Paret-Peintre,Laurence Pithie,,,,,,
Uno-X Mobility,UAE Team Emirates - XRG,Soudal Quick-Step,Cofidis,,Lidl - Trek,Arkéa - B&B Hotels,INEOS Grenadiers,INEOS Grenadiers,INEOS Grenadiers,Uno-X Mobility,Arkéa - B&B Hotels,,Decathlon AG2R La Mondiale Team,Red Bull - BORA - hansgrohe,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,6 points,8 points,2 points,,4 points,2 points,6 points,5 points,4 points,8 points,2 points,,2 points,4 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Markus Hoelgaard,Benjamin Thomas,Ilan Van Wilder,Felix Gall,,Thibau Nys,Raúl García Pierna,Laurenz Rex,Guillaume Martin,Axel Laurance,Stian Fredheim,Jordi Meeus,,Bastien Tronchon,Mick Van Dijke,,,,,,
Uno-X Mobility,Cofidis,Soudal Quick-Step,Decathlon AG2R La Mondiale Team,,Lidl - Trek,Arkéa - B&B Hotels,Intermarché - Wanty,Groupama - FDJ,INEOS Grenadiers,Uno-X Mobility,Red Bull - BORA - hansgrohe,,Decathlon AG2R La Mondiale Team,Red Bull - BORA - hansgrohe,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,6 points,8 points,2 points,,4 points,2 points,5 points,5 points,4 points,8 points,2 points,,2 points,4 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Anders Halland Johannessen,Mattias Skjelmose,Oscar Onley,Simone Consonni,,Toms Skujiņš,Mathis Le Berre,Jordan Jegat,Jordan Jegat,Connor Swift,Markus Hoelgaard,Gianni Moscon,,Jordi Meeus,Danny Van Poppel,,,,,,
Uno-X Mobility,Lidl - Trek,Team Picnic PostNL,Lidl - Trek,,Lidl - Trek,Arkéa - B&B Hotels,Team TotalEnergies,Team TotalEnergies,INEOS Grenadiers,Uno-X Mobility,Red Bull - BORA - hansgrohe,,Red Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,6 points,7 points,1 points,,4 points,2 points,4 points,4 points,4 points,8 points,2 points,,2 points,3 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Tobias Halland Johannessen,Anthony Turgis,Santiago Buitrago,Florian Lipowitz,,Jasper Stuyven,Clément Venturini,Ewen Costiou,Ewen Costiou,Geraint Thomas,Anders Halland Johannessen,Mick Van Dijke,,Gianni Moscon,Cristián Rodríguez,,,,,,
Uno-X Mobility,Team TotalEnergies,Bahrain - Victorious,Red Bull - BORA - hansgrohe,,Lidl - Trek,Arkéa - B&B Hotels,Arkéa - B&B Hotels,Arkéa - B&B Hotels,INEOS Grenadiers,Uno-X Mobility,Red Bull - BORA - hansgrohe,,Red Bull - BORA - hansgrohe,Arkéa - B&B Hotels,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 points,5 points,7 points,1 points,,4 points,2 points,4 points,4 points,4 points,8 points,2 points,,2 points,3 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Andreas Leknessund,Tim Merlier,Mattias Skjelmose,Jarrad Drizners,,Edward Theuns,Lewis Askey,Aurélien Paret-Peintre,Aurélien Paret-Peintre,Samuel Watson,Andreas Leknessund,Danny Van Poppel,,Laurence Pithie,Jarrad Drizners,,,,,,
Uno-X Mobility,Soudal Quick-Step,Lidl - Trek,Lotto,,Lidl - Trek,Groupama - FDJ,Decathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,INEOS Grenadiers,Uno-X Mobility,Red Bull - BORA - hansgrohe,,Red Bull - BORA - hansgrohe,Lotto,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3 points,2 points,6 points,,,4 points,2 points,4 points,4 points,4 points,6 points,2 points,,2 points,2 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Tobias Lund Andresen,Felix Gall,Benjamin Thomas,,,Tim Merlier,Cyril Barthe,Guillaume Martin,Thibau Nys,Sergio Higuita,Michael Woods,Aleksandr Vlasov,,Mick Van Dijke,Kaden Groves,,,,,,
Team Picnic PostNL,Decathlon AG2R La Mondiale Team,Cofidis,,,Soudal Quick-Step,Groupama - FDJ,Groupama - FDJ,Lidl - Trek,XDS Astana Team,Israel - Premier Tech,Red Bull - BORA - hansgrohe,,Red Bull - BORA - hansgrohe,Alpecin - Deceuninck,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2 points,1 points,6 points,,,2 points,2 points,4 points,4 points,2 points,4 points,2 points,,2 points,2 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Simone Consonni,Bryan Coquard,Hugo Page,,,Lewis Askey,Valentin Madouas,Pascal Eenkhoorn,Quinn Simmons,Mathieu Van Der Poel,Biniam Girmay,Pascal Eenkhoorn,,Danny Van Poppel,Tim Merlier,,,,,,
Lidl - Trek,Cofidis,Intermarché - Wanty,,,Groupama - FDJ,Groupama - FDJ,Soudal Quick-Step,Lidl - Trek,Alpecin - Deceuninck,Intermarché - Wanty,Soudal Quick-Step,,Red Bull - BORA - hansgrohe,Soudal Quick-Step,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1 points,,6 points,,,2 points,2 points,4 points,4 points,2 points,4 points,2 points,,2 points,2 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Mattia Cattaneo,,Edoardo Affini,,,Cyril Barthe,Quentin Pacher,Valentin Paret-Peintre,Toms Skujiņš,Clément Berthet,Tim Merlier,Valentin Paret-Peintre,,Tim Merlier,Sergio Higuita,,,,,,
Soudal Quick-Step,,Team Visma | Lease a Bike,,,Groupama - FDJ,Groupama - FDJ,Soudal Quick-Step,Lidl - Trek,Decathlon AG2R La Mondiale Team,Soudal Quick-Step,Soudal Quick-Step,,Soudal Quick-Step,XDS Astana Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,6 points,,,2 points,2 points,4 points,4 points,2 points,4 points,2 points,,2 points,2 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Tiesj Benoot,,,Romain Grégoire,Paul Penhoët,Maximilian Schachmann,Jasper Stuyven,Oliver Naesen,Luke Durbridge,Maximilian Schachmann,,Matis Louvel,Michael Woods,,,,,,
,,Team Visma | Lease a Bike,,,Groupama - FDJ,Groupama - FDJ,Soudal Quick-Step,Lidl - Trek,Decathlon AG2R La Mondiale Team,Team Jayco AlUla,Soudal Quick-Step,,Israel - Premier Tech,Israel - Premier Tech,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,6 points,,,2 points,2 points,4 points,4 points,2 points,4 points,2 points,,,2 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
